Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,Source_File,condition,genotype/variation,strain/background,AssemblyName,intentional_duplicate (run),dangling_references (run),BioSampleModel,dev_stage,Ecotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Library Name,cell_type,Development_stage,ecotype_background,genotype/varaition,genotype,treatment,Developmental_Stage,Experiment.1,strain,number_of_nuclei,plate/batch,days_after_pollination,fans_peak,female_parent,male_parent,ecotype/background,use_for_atlas,ID,Sample name,Accession,Public description,Project accession,Sample title,Cultivar,Biomaterial provider,Tissue,Age,Age unit,Dev stage,Cell line,Cell type,Collected by,Collection date,Culture collection,Disease,Disease stage,Genotype,Growth protocol,Height length,Isolation source,Latitude longitude,Phenotype,Population,Type,Sex,Specimen voucher,Temperature,Treatment,Study_Title
SRR8485805,,RNA-Seq,185.0,58707820265.0,PRJNA517021,SAMN10818242,20188340931.0,INSTITUTE OF PLANT PHYSIOLOGY AND ECOLOGY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5290443,,Illumina NovaSeq 6000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-05-01T00:00:00Z,2019-07-30T12:44:00Z,2.0,TQSC01,,SRP182008,Root,SraRunTable (4).csv,,,,,,,Plant,10 day after germination,Columbia,China,Asia,China,Root_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23614234,1.25-days-old,OTHER,312.0,46732026744.0,PRJNA938501,SAMN33438486,18925648221.0,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX19498773,GSM7063747,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:07:00Z,1.0,GSM7063747,Germinating seeds,SRP424479,Germinating seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23613940,0-days-old (3d cold treatment),RNA-Seq,320.0,37864419698.0,PRJNA938501,SAMN33438420,14573820055.0,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX19498698,GSM7063664,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:46:00Z,1.0,GSM7063664,Imbibed seeds,SRP424479,Imbibed seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23613941,0-days-old (3d cold treatment),RNA-Seq,320.0,36230734156.0,PRJNA938501,SAMN33438421,13947559475.0,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX19498699,GSM7063665,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:00:00Z,1.0,GSM7063665,Imbibed seeds,SRP424479,Imbibed seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23613942,0-days-old (3d cold treatment),RNA-Seq,320.0,32359194449.0,PRJNA938501,SAMN33438423,12335834433.0,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX19498700,GSM7063666,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:26:00Z,1.0,GSM7063666,Imbibed seeds,SRP424479,Imbibed seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046122,,RNA-Seq,127.0,31144730954.0,PRJNA640389,SAMN15315806,10101810078.0,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8574745,GSM4626010,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T17:08:00Z,1.0,GSM4626010,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046124,,RNA-Seq,127.0,30744076307.0,PRJNA640389,SAMN15315805,10040835415.0,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX8574746,GSM4626011,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T16:02:00Z,1.0,GSM4626011,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046121,,RNA-Seq,127.0,30720131600.0,PRJNA640389,SAMN15315806,9977562040.0,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8574745,GSM4626010,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T16:21:00Z,1.0,GSM4626010,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR12046060,,RNA-Seq,127.0,30523011471.0,PRJNA640389,SAMN15315802,9937878834.0,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX8574732,GSM4625997,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2020-07-04T00:00:00Z,2020-06-19T16:40:00Z,1.0,GSM4625997,Arabidopsis root cells,SRP267870,Root,SraRunTable (5).csv,,,,,,,,,,,,,,,,,,Wild type,,,,,,,,,,,Col-0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR23613943,0-days-old (3d cold treatment),RNA-Seq,320.0,30463413965.0,PRJNA938501,SAMN33438425,11604404089.0,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX19498701,GSM7063667,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC SINGLE CELL,Arabidopsis thaliana,ILLUMINA,2023-03-26T00:00:00Z,2023-02-24T20:12:00Z,1.0,GSM7063667,Imbibed seeds,SRP424479,Imbibed seeds,SraRunTable (8).csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
